Colourcode,Ringnumber,Sex ,TransmitterNr,TagDeployedDate,NestID,YearDeployed
B6RRYL,2505031,Female,144435,2015-05-13 00:00:00.000,1506900404,2015
B1RRYR,2510493,Female,144421,2015-05-20 00:00:00.000,1506901002,2015
B1LYBL,2510484,Female,144430,2015-05-14 00:00:00.000,1506901107,2015
B6RBLY,2510307,Female,144423,2015-05-18 00:00:00.000,1506901303,2015
Y4BRRR,3659780,Female,144431,2015-05-23 00:00:00.000,1506901406,2015
B1RRBY,2510497,Female,144154,2015-05-28 00:00:00.000,1506901503,2015
B1RRYY,2510491,Female,144425,2015-05-19 00:00:00.000,1506901604,2015
B6RBLL,2510485,Female,144432,2015-05-15 00:00:00.000,1506901802,2015
Y5RRLR,2504859,Female,144440,2015-05-14 00:00:00.000,1506901901,2015
B1LYBR,2510490,Female,144437,2015-05-19 00:00:00.000,1506902404,2015
B6RBLB,2510305,Female,144419,2015-05-18 00:00:00.000,1506902404,2015
D1DD44,2510310,Female,144433,2015-05-09 00:00:00.000,1506902503,2015
Y2RRYB,3619047,Female,144436,2015-05-23 00:00:00.000,1506903210,2015
Y3YBBL,1430172,Female,144429,2015-05-22 00:00:00.000,1506903212,2015
B6RBYB,2510483,Female,144441,2015-05-13 00:00:00.000,1506903301,2015
B6RRLY,2505038,Female,144434,2015-05-16 00:00:00.000,1506903303,2015
B5RYYL,2505018,Female,144438,2015-05-22 00:00:00.000,1506903406,2015
B5RBLY,2505016,Female,144427,2015-05-14 00:00:00.000,1506903903,2015
B6RBLR,2510487,Female,144424,2015-05-15 00:00:00.000,1506904403,2015
B1RRBR,2504875,Female,144443,2015-05-24 00:00:00.000,1506904405,2015
B6RBYL,2510367,Female,144426,2015-05-07 00:00:00.000,1506904601,2015
Y5RRRL,2504866,Female,144418,2015-05-16 00:00:00.000,1506904602,2015
Y2RYLY,3654014,Female,144428,2015-05-20 00:00:00.000,1506904603,2015
B1BBLR,2504698,Female,144129,2016-05-15 00:00:00.000,1606901601,2016
B1RLLR,2504682,Female,151682,2016-05-31 00:00:00.000,1606903102,2016
Y5RRLB,2504860,Female,123424,2016-05-10 00:00:00.000,1606905605,2016
Y6YLLR,1438803,Female,134747,2016-05-25 00:00:00.000,1606905607,2016
Y5RYBR,2504854,Female,134755,2016-05-07 00:00:00.000,1606903001,2016
Y6LBRL,1443514,Female,144420,2015-05-10 00:00:00.000,1506903901,2015
Y4BBYR,3654049,Female,144422,2015-05-25 00:00:00.000,1506904604,2015
B1RRYB,2510494,Female,144439,2015-05-21 00:00:00.000,1506900502,2015
Y5YLRR,2503309,Female,144442,2015-05-11 00:00:00.000,1506903904,2015
B4LBLR,2504673,Female,157535,2017-05-04 00:00:00.000,1706901401,2017
B5RBLB,2505015,Male,157536,2017-04-30 00:00:00.000,1706901101,2017
B5BYLB,2505021,Male,157553,2017-05-03 00:00:00.000,1706901502,2017
Y5RLYB,2504857,Female,157558,2017-05-09 00:00:00.000,1706901504,2017
