ColourCode,Remarks,Ringnumber,TransmitterID,YearDeployed,DateDeployed,NestID,FirstTimeFound,NestFate,HatchDate,LastDaySeenChickGuiding,Notes
B3BLLL,,2504825,2042,2013,5/26/2013,1306902506,5/11/2013,Hatched,2-Jun-13,16-Jun-13,
B3BLYB,Found Dead,2504824,2004,2013,5/26/2013,1306901003,5/2/2013,Hatched,28-May-13,22-Jun-13,
B3BLYL,,2504822,2020,2013,5/24/2013,1306900402,5/9/2013,Hatched,24-May-13,22-Jun-13,
B3BLYR,,2504823,2011,2013,5/25/2013,1306900303,5/4/2013,Hatched,29-May-13,NA,
B3RBLR,Found Dead: 5/18/2013,2503004,2023,2013,5/9/2013,1306903206,5/3/2013,Hatched,17-May-13,NA,Found Dead on 18th
B3RLLL,,2504829,2015,2014,,1415901803,5/23/2014,Hatched,11-Jun-14,NA,
B3RLLL,,2504829,2015,2013,5/27/2013,1306901303,5/3/2013,Hatched,28-May-13,12-Jun-13,
B4LBYL,,2504818,2041,2013,5/22/2013,1306901603,5/3/2013,Hatched,22-May-13,22-Jun-13,
Y2BRYB,,3652856,2012,2013,4/30/2013,1306901401,4/18/2013,Hatched,14-May-13,14-Jun-13,
Y2BYLR,,3654007,2016,2013,4/27/2013,1306901901,4/22/2013,Depredated,NA,NA,
Y2RLBL,,3654133,2001,2013,5/6/2013,1306901806,5/6/2013,Hatched,22-May-13,NA,
Y2RLLB,Redeployed,3654125,2023,2013,5/27/2013,1306902303,5/2/2013,Hatched,28-May-13,22-Jun-13,
Y2RYLY,,3654014,1008,2013,5/27/2013,1306903904,5/2/2013,Hatched,28-May-13,27-Jun-13,
Y2YLRL,,3654003,2010,2013,5/21/2013,1306902302,5/2/2013,Hatched,21-May-13,NA,
Y2YLYY,,3619093,2006,2013,5/15/2013,1306904001,4/30/2013,Hatched,23-May-13,6-Jun-13,
Y4BRRR,Redeployed,3659780,2004,2014,5/29/2014,1406901404,5/6/2014,Hatched,30-May-14,4-Jun-14,
Y4BYLL,,3655559,2014,2013,5/12/2013,1306900501,4/24/2013,Hatched,14-May-13,NA,
Y4BYRR,,3654035,2018,2014,,1406900706,5/10/2014,Hatched,29-May-14,NA,
Y4BYRR,,3654035,2018,2013,5/22/2013,1306901405,5/2/2013,Hatched,27-May-13,16-Jun-13,
Y4LRLY,,1430426,2013,2013,5/4/2013,1306900701,4/24/2013,Hatched,18-May-13,NA,
Y5BYYY,,2504821,1009,2013,5/24/2013,1306900504,5/9/2013,Hatched,24-May-13,22-Jun-13,
Y5RRLB,,2504860,2017,2013,5/13/2013,1306905603,5/10/2013,Hatched,15-May-13,18-Jun-13,
Y6LBBB,,3659862,2002,2013,5/14/2013,1306904503,5/10/2013,Hatched,16-May-13,NA,
Y6LBBB,,3659862,2002,2014,,1406903205,5/4/2014,Hatched,24-May-14,4-Jun-14,
Y6LBBB,,3659862,2002,2015,,1506903202,4/14/2015,Hatched,12-May-15,NA,
Y6RBLB,,2502995,1001,2012,5/11/2012,1206903901,4/23/2012,Hatched,22-May-12,NA,
Y6RBLY,,2502994,1002,2012,5/11/2012,1206901103,5/7/2012,Hatched,12-May-12,NA,hatched on 12th or 13th
Y6YBLY,,3654203,2019,2013,5/9/2013,1306903204,5/3/2013,Hatched,23-May-13,18-Jun-13,
